item,current_stock
ACCELERATOR PEDAL FUSO,190
AIR BRAKE BOOSTER  1430 LONG,0
AIR BRAKE BOOSTER 1-47800-759,0
AIR BRAKE BOOSTER 757-0 LONG ISUZU CXZ,0
AIR BRAKE BOOSTER MC815305 SHORT YBB-A105,38
AIR BRAKE BOOSTER MC815402,70
AIR BRAKE COIL PA2245SR RED TRAILER HOSE,0
AIR BRAKE COIL PA22A5SY YELLOW TRAILER HOSE,0
AIR COMPRESSOR 6BG1,25
AIR DRIER ASSY DR31,30
AIR DRIER ASSY DR-5,32
AIR DRIER ASSY DU-3,32
AIR DRIER ASSY DU-4,24
AIR DRIER ASSY DU-5,30
AIR DRIER ASSY DU-6,30
AIR HORN yah-740,0
ALLOY STEP CT96133 LH=RH,200
ALLOY STEP GR97018 LOWER LH=RH,100
ALLOY STEP LOWER CE84057/58 LH=RH,150
ALLOY STEP UPPER CE84055/56 LH=RH,100
ALLOY STEP UPPER LH CE97083,136
ALLOY STEP UPPER RH CE97083,64
ATF TANK FLUID P34334-00183,0
BASAHAN  small,4
BOLT 14X300,2240
BOLT 18X110,4
BOLT 18X130,4
BOLT 18x260,50
BOLT 18X75 ,25
BOLT 18X90,9
BOLT 24X280/58,2440
BOX FOR DASHBOARD FUSO GR97,0
BRAKE CHAMBER 2 STUD T30,400
BRAKE CHAMBER 2STUD T30  SINGLE,0
BRAKE CHAMBER 2STUD T30/30 DD,80
BRAKE CHAMBER 4STUD  ISUZU 925-322-622,0
BRAKE CHAMBER 4STUD 622,0
BRAKE CHAMBER 4STUD 925-322-622-0,50
BRAKE CHAMBER 4STUD HINO ZM440,50
BRAKE CHAMBER 4STUD T30/30 005,0
BRAKE CHAMBER 4STUD T30/30DD  005,100
BRAKE FLUID TANK AIR MASTER,0
BRAKE FLUID TANK CRW3127-5,48
BRICK LAYING TROWEL FA8709 280mm,1177
BRICK LAYING TROWEL FA8907 7mm,1190
BRICK LAYING TROWEL FA8907 8mm ,1190
BRICK LAYING TROWEL FA8935 140mm,1143
BRICK LAYING TROWEL FA8935 180MM,1145
BUMPER  PR93011A ,0
BUMPER 10.5T 88 IZFR84022 FTR-88 TAIWAN,0
BUMPER 3.5T 1991 MBL85-202 FB300-91 TAIWAN,35
BUMPER 6.8T MBL85-201 FE444 TAIWAN,10
BUMPER ASSY CE97 chromed w/ acc,49
BUMPER ASSY CE97 GIGA CHROME,0
BUMPER ASSY CE97029 PAINTED,0
BUMPER ASSY FRONT CE97 GIGA CHROME,0
BUMPER ASSY PR 93044-A,0
BUMPER ASSY PR CHROME,0
BUMPER CE84032-B WHOLE,50
BUMPER CE97029 CHROME W/O ACC,0
BUMPER CE97029 PAINTED,15
